arrival_date_year,adults,children,is_repeated_guest,total_of_special_requests,adr,hotel,lead_time,is_canceled,previous_cancellations,booking_changes,required_car_parking_spaces
2017,1,0.0,0,1,4.0,1,3,0,0,0,0
2016,2,0.0,0,1,29.0,1,52,0,0,0,0
2016,2,0.0,0,0,74.8,0,120,1,0,0,0
2016,2,0.0,0,1,66.0,1,35,0,0,0,0
2015,2,0.0,0,1,126.0,0,10,0,0,0,0
2017,3,0.0,0,2,159.7,0,22,0,0,1,0
2017,2,0.0,0,2,89.1,0,306,1,0,0,0
2017,2,0.0,0,0,140.4,1,204,1,0,1,0
2016,1,0.0,0,0,64.0,1,1,0,0,0,0
2016,2,0.0,0,0,184.45,0,25,0,0,1,0
2016,2,0.0,0,1,90.45,0,91,0,0,0,0
2017,2,0.0,0,0,83.16,0,14,0,0,0,0
2016,2,0.0,0,0,103.21,0,159,1,0,0,0
2017,2,0.0,0,2,112.67,0,451,0,0,0,0
2016,1,0.0,0,0,70.33,0,41,0,0,0,0
2015,1,0.0,0,0,76.67,0,219,0,0,0,0
2015,1,0.0,0,1,38.0,1,0,0,0,0,0
2016,2,0.0,0,1,66.98,1,167,0,0,0,0
2017,2,0.0,0,1,102.5,1,23,0,0,0,0
2015,2,0.0,0,0,115.0,0,0,0,0,0,1
2016,2,0.0,0,2,124.25,0,21,0,0,0,0
2017,2,0.0,0,1,148.0,0,69,1,0,0,0
2017,2,0.0,0,1,121.0,1,9,0,0,0,0
2017,1,0.0,0,0,120.0,0,0,0,0,0,0
2017,2,0.0,0,2,192.0,1,126,1,0,0,0
2015,1,0.0,0,1,129.0,1,128,0,0,1,1
2017,2,0.0,0,0,42.0,1,1,1,0,0,0
2015,2,0.0,0,0,60.43,1,130,0,0,0,0
2016,2,0.0,0,0,89.3,1,210,0,0,0,1
2016,2,0.0,0,0,190.43,1,82,0,0,0,0
2017,2,0.0,0,0,114.4,0,405,0,0,0,0
2017,2,1.0,0,1,157.33,0,13,0,0,0,0
2017,2,0.0,0,0,95.0,0,112,1,0,1,0
2016,2,0.0,0,2,78.3,0,278,0,0,0,0
2016,2,0.0,0,2,28.1,1,94,0,0,0,0
2016,2,0.0,0,0,97.07,0,136,0,0,0,0
2016,1,0.0,0,1,131.0,0,1,0,0,0,0
2017,2,0.0,0,1,83.16,0,9,0,0,0,0
2017,1,1.0,0,0,103.0,0,10,0,0,1,0
2017,1,0.0,1,0,35.0,1,6,0,0,0,0
2017,2,0.0,0,0,8.0,1,1,0,0,0,0
2017,1,0.0,0,0,106.2,0,71,1,0,0,0
2015,2,0.0,0,1,192.0,1,40,0,0,0,0
2015,2,0.0,0,0,62.67,1,24,0,0,0,1
2016,2,0.0,0,1,75.23,0,208,0,0,0,0
2016,2,0.0,0,2,90.14,1,90,1,0,0,0
2016,2,0.0,0,2,88.4,0,63,0,0,2,0
2017,2,0.0,0,2,89.54,0,34,0,0,1,0
2017,2,0.0,0,1,140.0,0,36,0,0,0,0
2017,2,1.0,0,1,256.31,1,105,0,0,0,1
2016,1,0.0,0,0,40.0,1,1,0,0,0,0
2015,2,0.0,0,1,80.86,1,252,1,1,0,0
2016,2,0.0,0,2,54.0,1,37,0,0,2,0
2016,2,0.0,0,2,116.0,0,13,0,0,0,0
2015,2,0.0,0,0,56.59,1,54,0,0,0,0
2016,2,1.0,0,0,148.5,0,18,1,0,1,0
2017,2,0.0,0,3,93.69,0,3,0,0,0,1
2016,2,0.0,0,2,221.0,0,5,0,0,1,0
2016,2,0.0,0,0,111.0,0,1,0,0,1,0
2015,2,0.0,0,1,80.85,0,25,0,0,0,0
2016,1,0.0,0,0,74.95,0,90,0,0,1,0
2017,2,0.0,0,0,220.0,1,42,1,0,0,0
2017,2,0.0,0,0,117.0,0,178,1,0,0,0
2017,2,0.0,0,0,100.3,0,41,1,0,0,0
2016,2,1.0,0,1,66.72,0,41,0,0,0,0
2016,2,0.0,0,0,143.1,0,142,1,0,0,0
2016,2,1.0,0,3,80.01,0,207,0,0,0,0
2016,2,0.0,0,0,72.0,0,6,0,0,0,0
2017,2,0.0,0,0,61.2,0,20,1,0,0,0
2016,2,0.0,0,1,99.45,0,163,0,0,0,0
2016,2,0.0,0,1,89.1,0,35,1,0,0,0
2016,2,0.0,0,2,90.95,0,166,0,0,0,0
2015,1,0.0,0,1,37.6,1,1,0,0,1,1
2016,2,2.0,0,0,124.14,1,198,1,0,1,0
2016,2,1.0,0,1,149.18,0,84,0,0,1,0
2016,1,0.0,0,0,90.0,0,265,0,0,1,0
2017,2,0.0,0,0,72.38,1,44,0,0,0,0
2015,2,2.0,0,3,96.67,1,96,0,0,0,0
2015,1,0.0,0,0,64.8,0,2,0,0,0,0
2016,2,0.0,0,0,75.0,0,45,0,0,0,0
2016,1,0.0,0,0,42.0,1,4,0,0,0,0
2017,2,0.0,0,0,99.0,0,204,0,0,0,0
2015,1,0.0,0,0,0.0,0,18,0,0,0,0
2015,1,0.0,0,0,65.45,0,9,1,1,0,0
2017,1,0.0,0,1,277.67,0,19,1,0,0,0
2017,2,0.0,0,0,144.0,0,150,0,0,0,0
2016,2,0.0,0,2,176.33,1,66,0,0,0,0
2016,2,0.0,0,1,91.0,0,26,0,0,0,0
2017,2,0.0,0,1,128.0,1,6,0,0,0,0
2017,2,0.0,0,3,218.0,1,177,0,0,0,0
2015,1,0.0,0,0,145.0,0,5,0,0,0,0
2016,2,0.0,0,1,96.3,0,139,0,0,0,0
2016,2,0.0,1,0,145.0,1,0,0,0,0,0
2017,3,0.0,0,0,158.7,0,195,1,0,1,0
2017,2,0.0,0,1,120.6,0,277,0,0,0,0
2016,1,0.0,0,1,109.65,0,64,1,0,0,0
2015,3,0.0,0,2,186.0,0,13,0,0,0,0
2016,3,0.0,0,0,95.0,0,33,0,0,1,0
2015,2,0.0,0,0,100.0,0,14,0,0,1,0
2017,2,0.0,0,1,141.14,0,268,1,0,3,0
2015,2,0.0,0,2,99.0,0,8,0,0,0,1
2016,1,0.0,1,1,42.0,1,6,0,0,0,0
2017,1,0.0,1,0,35.0,1,1,0,0,0,0
2016,2,0.0,0,0,139.0,0,22,1,0,0,0
2016,2,0.0,0,1,63.0,1,23,0,0,0,0
2016,3,0.0,0,0,177.0,0,15,1,0,0,0
2016,2,0.0,0,1,80.75,0,94,0,0,0,0
2016,1,0.0,0,0,99.9,1,94,1,0,1,0
2015,2,2.0,0,2,95.0,1,106,1,0,1,0
2017,2,0.0,0,1,160.0,0,15,1,0,0,0
2017,2,0.0,0,1,170.0,0,0,0,0,0,0
2016,2,0.0,0,1,135.0,0,17,1,0,0,0
2015,1,0.0,0,0,42.0,1,17,0,0,2,1
2016,2,0.0,0,3,87.3,0,57,1,0,0,0
2016,2,0.0,0,0,149.4,0,103,1,0,0,0
2017,2,0.0,1,2,120.0,1,22,0,0,0,0
2016,2,0.0,0,0,48.0,1,383,1,0,0,0
2016,2,0.0,0,1,90.95,0,179,0,0,0,0
2017,2,0.0,0,0,50.85,1,89,0,0,0,0
2017,3,0.0,0,2,158.0,0,1,0,0,0,0
2017,2,1.0,0,1,137.9,1,16,0,0,0,1
